,time,mag,mag_err
0,1955.8207397460938,13.962950187242662,5.525141971948114e-05
1,1955.8416137695312,13.960715919706896,5.513873365941676e-05
2,1955.8624267578125,13.959179060592795,5.5065005155046524e-05
3,1955.8832397460938,13.957951369693234,5.5002853999014375e-05
4,1955.9041137695312,13.957318715080206,5.4972668163054055e-05
5,1955.9249267578125,13.960246806185495,5.5121110396961805e-05
6,1955.9457397460938,13.956961355031444,5.495709225859144e-05
7,1955.9666137695312,13.957381552802852,5.497794397282234e-05
8,1955.9874267578125,13.956352148044829,5.49273991306933e-05
9,1956.0082397460938,13.95634384222334,5.4926653417878455e-05
10,1956.0291137695312,13.955681557098687,5.4894692598527114e-05
11,1956.0499267578125,13.956439225608612,5.4934739638622125e-05
12,1956.0707397460938,13.955048701910972,5.486943605772905e-05
13,1956.0916137695312,13.956836856085522,5.4959232714809256e-05
14,1956.1124267578125,13.958453935384082,5.5045047484063006e-05
15,1956.1332397460938,13.957034514037762,5.497501057867041e-05
16,1956.1541137695312,13.959414299956219,5.509721080554698e-05
17,1956.1749267578125,13.958224446804442,5.504016485225047e-05
18,1956.1957397460938,13.959175929847648,5.509311214729861e-05
19,1956.2166137695312,13.959109006584612,5.5093608766519476e-05
20,1956.2374267578125,13.961292348995443,5.520998311927005e-05
21,1956.2582397460938,13.960706316530143,5.518163966819784e-05
22,1956.2791137695312,13.962600517796037,5.528379894239625e-05
23,1956.2999267578125,13.961479929438044,5.523194720368965e-05
24,1956.3207397460938,13.963859057236125,5.535853143783304e-05
25,1956.3416137695312,13.964201322772656,5.538336103221851e-05
26,1956.3624267578125,13.965018546819975,5.543081103660127e-05
27,1956.3832397460938,13.9670609293718,5.55395268133768e-05
28,1956.4041137695312,13.970093894507496,5.570438169460706e-05
29,1956.4249267578125,13.971366939725403,5.577414472587608e-05
30,1956.4457397460938,13.975105525605636,5.5972445028167284e-05
31,1956.4666137695312,13.974151920426632,5.5932059527213365e-05
32,1956.4874267578125,13.979683637128717,5.6228858007565866e-05
33,1956.5082397460938,13.982340636539082,5.637430353480147e-05
34,1956.5291137695312,13.986792036332643,5.661626845790364e-05
35,1956.5499267578125,13.993416330569126,5.6974409050445236e-05
36,1956.5707397460938,13.999189889280267,5.728302763460521e-05
37,1956.5916137695312,14.001050074289427,5.7392380695243235e-05
38,1956.6124267578125,14.01004476686478,5.787753955627735e-05
39,1956.6332397460938,14.02065342196284,5.845673721844717e-05
40,1956.6541137695312,14.023789280015702,5.863415350514899e-05
41,1956.6749267578125,14.038220960378162,5.943031130684706e-05
42,1956.6957397460938,14.046046544335105,5.986674799674504e-05
43,1956.7166137695312,14.05169919305894,6.018839381720481e-05
44,1956.7374267578125,14.055767618913375,6.0423789160943144e-05
45,1956.7582397460938,14.060023494656779,6.067465920641579e-05
46,1956.7791137695312,14.064328208490785,6.0924274839136375e-05
47,1956.7999267578125,14.068837438319637,6.118908222480216e-05
48,1956.8207397460938,14.07357334321336,6.146591774060075e-05
49,1956.8416137695312,14.07834960060633,6.17469729166803e-05
50,1956.8624267578125,14.082989254558225,6.20225575703661e-05
51,1956.8832397460938,14.087935686972406,6.231460676123337e-05
52,1956.9041137695312,14.092385919490791,6.258355573619498e-05
53,1956.9249267578125,14.097090938962074,6.286228445647912e-05
54,1956.9457397460938,14.101233679839495,6.310942927824462e-05
55,1956.9666137695312,14.105141642234432,6.334377272548587e-05
56,1956.9874267578125,14.108889544314579,6.356822837539584e-05
57,1957.0082397460938,14.112639088665206,6.379495964789266e-05
58,1957.5082397460938,14.11156968692243,6.375089965720406e-05
59,1957.5291137695312,14.110152815093597,6.366319255276466e-05
60,1957.5499267578125,14.108902042122478,6.358835781325815e-05
61,1957.5707397460938,14.107829606889416,6.352255546956807e-05
62,1957.5916137695312,14.10583565070678,6.340402502988342e-05
63,1957.6124267578125,14.104599730663942,6.332829617788445e-05
64,1957.6332397460938,14.1028716356114,6.322570379201133e-05
65,1957.6541137695312,14.101462548221543,6.313993181683826e-05
66,1957.6749267578125,14.099844844265304,6.304367117241298e-05
67,1957.6957397460938,14.098325672894472,6.295252938560611e-05
68,1957.7166137695312,14.096937161416307,6.286818047535394e-05
69,1957.7374267578125,14.095429947924831,6.277751291181348e-05
70,1957.7582397460938,14.093729178594906,6.267708519911039e-05
71,1957.7791137695312,14.091997038944871,6.257483021772995e-05
72,1957.7999267578125,14.09089713339685,6.250914762551333e-05
73,1957.8207397460938,14.089227249354455,6.241069431727718e-05
74,1957.8416137695312,14.087939577468532,6.233485440718356e-05
75,1957.8624267578125,14.086236933863244,6.223692468417536e-05
76,1957.8832397460938,14.084900514376272,6.215776920630638e-05
77,1957.9041137695312,14.083401173903736,6.206941991753043e-05
78,1957.9249267578125,14.081880520356211,6.197930486736474e-05
79,1957.9457397460938,14.080610905681429,6.190387754837099e-05
80,1957.9666137695312,14.079233579686559,6.182367972548854e-05
81,1957.9874267578125,14.0777163345198,6.173808691477933e-05
82,1958.0082397460938,14.076333579628155,6.165460013055356e-05
83,1958.0291137695312,14.075237217146285,6.158943733505563e-05
84,1958.0499267578125,14.074164504094911,6.152667505907921e-05
85,1958.0707397460938,14.072790139281667,6.144498997406605e-05
86,1958.0916137695312,14.071547134774082,6.137135732858159e-05
87,1958.1124267578125,14.070095947299295,6.128935021093908e-05
88,1958.1332397460938,14.06912023826921,6.123078457694609e-05
89,1958.1541137695312,14.067693782824803,6.114804096063997e-05
90,1958.1749267578125,14.066482135722998,6.107715856948503e-05
91,1958.1957397460938,14.065303976416129,6.100910643078538e-05
